CountryName	AreaName	CityName	CityEnName	CityId	PlaceName	PlaceId
중국	티베트	르카쩌	rikaze	RKZ	시가체 피스 공항	RKZ
중국	티베트	린즈	nyingchi	LZY	린즈 공항	LZY
홍콩	홍콩	홍콩	hong-kong	HKG	홍콩 국제공항	HKG
마카오	마카오	마카오	macau	MFM	마카오 국제공항	MFM
대만		타이베이	taipei	TPE	타이완 타오위안 국제공항	TPE
대만		타이베이	taipei	TPE	쑹산 공항	TSA
대만		가오슝	kaohsiung	KHH	까오슝 국제공항	KHH
대만		타이중	taichung	RMQ	타이중 공항	RMQ
대만		타이난	tainan	TNN	타이난 공항	TNN
대만		화롄	hualien	HUN	화롄 공항	HUN
대만		진먼	kinmen	KNH	진먼 공항	KNH
대만		마궁	makung	MZG	마공 공항	MZG
몽골		울란바토르	ulaanbaatar	ULN	칭기즈 칸 국제공항	ULN
베트남		하노이	hanoi	HAN	노이바이 국제공항	HAN
베트남		다낭	da-nang	DAD	다낭 국제공항	DAD
베트남		호치민시티	ho-chi-minh-city	SGN	탄손누트 국제공항	SGN
베트남		달랏	dalat	DLI	리엔쿠엉 공항	DLI
베트남		하이퐁	haiphong	HPH	캣비 국제공항	HPH
베트남	응에안	빈	vinh-city	VII	빈 공항	VII
베트남	틴투안티엔후에	후에	hue	HUI	푸바이 국제공항	HUI
베트남	카인호아	나트랑	nha-trang	nha	나트랑캄란 공항	CXR
베트남	끼엔장	푸꾸옥 섬	phu-quoc-island	PQC	푸꿕 공항	PQC
말레이시아		쿠알라룸푸르	kuala-lumpur	KUL	쿠알라룸푸르 국제공항	KUL
말레이시아		쿠알라룸푸르	kuala-lumpur	KUL	술탄압둘아지즈샤 공항	SZB
말레이시아	케다주	랑카위	langkawi	LGK	랑카위 국제공항	LGK
말레이시아		페낭	penang	PEN	페낭 국제공항	PEN
말레이시아	클란탄	코타바루	kota-bharu	KBR	술탄 이스마일 페트라 공항	KBR
말레이시아	조호르	조호르바루	johor-bahru	JHB	세나이 국제공항	JHB
말레이시아	사라와크	쿠칭	kuching	KCH	쿠칭 국제공항	KCH
말레이시아	사라와크	시부	sibu	SBW	시부 공항	SBW
말레이시아	사라와크	미리	miri	MYY	미리 공항	MYY
말레이시아	사바	코타키나발루	kota-kinabalu	BKI	코타키나발루 국제공항	BKI
싱가포르		싱가포르	singapore	SIN	창이 국제공항	SIN
인도네시아	자카르타	자카르타	jakarta	jkt	수카르노 하타 국제공항	CGK
인도네시아	자카르타	자카르타	jakarta	jkt	자카츠타할림페르다나쿠수마 공항	HLP
인도네시아	발리	발리	bali	DPS	응우라라이 국제공항	DPS
인도네시아	아체	반다아세흐	banda-aceh	BTJ	술탄이스칸다르무다공항	BTJ
인도네시아	리아루	페칸바루	pekanbaru	PKU	술탄 시아리프 카심 II 공항	PKU
인도네시아	서부 수마트라	파당	padang	PDG	미낭까바우 국제공항	PDG
인도네시아	잠비	잠비	jambi	DJB	술탄 타하 공항	DJB
인도네시아	수마트라 슬라탄	팔렘방	palembang	PLM	술탄마흐무드바다루딘ii공항	PLM
인도네시아	.	반다르람풍	bandar	TKG	라딘 인텐 II 공항	TKG
인도네시아	자와바랏	반둥	bandung	BDO	반둥 공항	BDO
인도네시아	자와텡가	세마랑	semarang	SRG	아흐맛야니국제공항	SRG
인도네시아	요그야카르타	요그야카르타	yogyakarta	JOG	아디수집토 국제공항	JOG
인도네시아		솔로	solo	SOC	아디수마르모 국제공항	SOC
인도네시아	자와티무르	수라바야	surabaya	SUB	주안다 국제공항	SUB
인도네시아	서부 누사텡가라	롬복	lombok	LOP	롬복 국제공항	LOP
인도네시아	누사텡가라티무르	쿠팡	kupang	KOE	엘 타리 공항	KOE
인도네시아	칼리만탄바랏	폰티아낙	pontianak	PNK	폰티아낙공항	PNK
인도네시아	칼리만탄슬라탄	반자르마신	banjarmasin	BDJ	시암수딘누르공항	BDJ
인도네시아	칼리만탄티무르	발릭파판	balikpapan	BPN	스삥간국제공항	BPN
인도네시아	칼리만탄우타란	타라칸	tarakan	TRK	타라칸 공항	TRK
인도네시아	중앙 술라웨시	팔루	palu	PLW	무티아라 공항	PLW
인도네시아		마카사르	makassar	UPG	술탄 하사누딘 국제공항	UPG
인도네시아	술라웨시 슬라탄	마나도	manado	MDC	삼라툴랑기 국제공항	MDC
인도네시아	말루쿠	암본	ambon	AMQ	파티무라 공항	AMQ
인도네시아	파푸아	자야푸라	jayapura	DJJ	센타니 공항	DJJ
인도네시아	파푸아	wamena	wamena	WMX	와메나 공항	WMX
인도네시아	리아우 제도	바탐섬	batam	BTH	항나딤 공항	BTH
태국		방콕	bangkok	BKK	수완나품 국제공항	BKK
태국		방콕	bangkok	BKK	돈므앙 국제공항	DMK
태국	치앙라이	치앙라이	chiang-rai	CEI	치앙라이 국제공항	CEI
태국	치앙마이	치앙마이	chiang-mai	CNX	치앙마이 국제공항	CNX
태국		우돈타니	udon-thani	UTH	우돈타니 국제공항	UTH
태국	콘깬	콘캔	khon-kaen	KKC	콘캔 공항	KKC
태국	우본라차타니	우본라차타니	ubon-ratchathani	UBP	우본랏차타니 공항	UBP
태국	수랏타니	코사무이	koh-samui	USM	사무이 공항	USM
태국	수랏타니	수랏타니	surat-thani	URT	수랏 타니 공항	URT
태국	푸켓	푸켓	phuket	HKT	푸껫 국제공항	HKT
태국	끄라비	크라비	krabi	KBV	크라비 공항	KBV
태국	송클라	핫야이	hat-yai	HDY	핫 야이 국제공항	HDY
필리핀	마닐라	마닐라	manila	MNL	니노이 아키노 국제공항	MNL
필리핀	센트럴루존	앙헬레스 마발라카트	angeles-mabalacat	CRK	클라크 국제공항공사	CRK
필리핀	미마로파	푸에르토프린세사	puerto-princesa	PPS	푸에르토프린세사 공항	PPS
필리핀	웨스턴 비사야	카티클란	caticlan	MPH	보라카이 공항	MPH
필리핀	센트럴 비사야	세부	cebu	CEB	막탄 국제공항	CEB
필리핀	웨스턴 비사야	칼리보	kalibo	KLO	칼리보 국제공항	KLO
필리핀	다바오	다바오	davao	DVO	프란시스코 방고이 국제공항	DVO
필리핀	삼보앙가 반도	삼보앙가	zamboanga	ZAM	삼보앙가 국제공항	ZAM
미얀마	양곤	양곤	yangon	RGN	양곤 국제공항	RGN
미얀마	만달레이	만달레이	mandalay	MDL	만달레이 국제공항	MDL
미얀마	샨	헤호	heho	HEH	헤호 공항	HEH
캄보디아		프놈펜	phnom-penh	PNH	프놈펜 국제공항	PNH
캄보디아	씨엠립	씨엠립	siem-reap	REP	앙코르 국제공항	REP
방글라데시	다카	다카	dhaka	DAC	샤잘랄 국제공항	DAC
방글라데시	티치타공	치타공	chittagong	CGP	샤아마나트 국제공항	CGP
스리랑카	서부 주	콜롬보	colombo	CMB	반다라나이케 국제공항	CMB
몰디브		말레	male	MLE	말레 국제공항	MLE
브루나이	브루나이 무아라	반다르세리베가완	bandar-seri-begawan	BWN	브루나이 국제공항	BWN
인도		델리	delhi	DEL	인디라 간디 국제공항	DEL
인도	마하라슈트라	뭄바이	mumbai	BOM	차트라파티 시바지 국제공항	BOM
인도	타밀나두	첸나이	chennai	MAA	마드라스 국제공항	MAA
인도	서벵골	콜카타	kolkata	CCU	네타지 수바스 찬드라 보스 국제공항	CCU
라오스	비엔티엔	비엔티엔	vientiane	VTE	왓타이 국제공항	VTE
라오스		루앙프라방	luang-prabang	LPQ	루앙 프라방 국제공항	LPQ
라오스	참파삭	빡세	pakse	PKZ	팍스 국제공항	PKZ
라오스	사보나헷	사반나케트	savannakhet	ZVK	사바나겟 공항	ZVK
라오스	보케오	후에사이	houeisay	HOE	후에이시 공항	HOE
라오스	루앙남타	루앙남타	luang-namtha	LXG	루앙 남다 공항	LXG
네팔	바그마티	카트만두	kathmandu	KTM	트리부반 국제공항	KTM
네팔	사가르마타	루클라	lukla	LUA	루크라 공항	LUA
부탄	붐땅	자카르	jakar	BUT	바스팔랏 공항	BUT
부탄	사르팡	겔레푸	gelephu	GLU	게르푸 공항	GLU
부탄	트라쉬강	트라시강	trashigang	YON	타히간 공항	YON
부탄	파로	파로	paro	PBH	파로 공항	PBH
아랍에밀리트	아부다비	아부다비	abu-dhabi	AUH	아부다비 국제공항	AUH
아랍에밀리트	아부다비	알아인	al-ain	AAN	알 아인 국제공항	AAN
아랍에밀리트	두바이	두바이	dubai	DXB	두바이 국제공항	DXB
아랍에밀리트	두바이	두바이	dubai	DXB	두바이 알 막툼 국제공항	DWC
아랍에밀리트	라스알카이마	라스알카이마	ras-al-khaimah	RKT	라스 알 카이마 국제공항	RKT
아랍에밀리트	샤르자	샤르자	sharjah	SHJ	샤르자 국제공항	SHJ
사우디아라비아	리야드	리야드	riyadh	RUH	킹 칼리드 국제공항	RUH
사우디아라비아	메카	제다	jeddah	JED	킹 압둘아지즈 국제공항	JED
사우디아라비아	동부 주	담맘	dammam	DMM	킹 파드 국제공항	DMM
사우디아라비아		메디나	medina	MED	프린스 모하매드 빈 압둘아지즈 국제공항	MED
사우디아라비아		가심	gassim	ELQ	가심 공항	ELQ
사우디아라비아		타부크	tabuk	TUU	타북 공항	TUU
사우디아라비아	메디나	얀부	yanbu	YNB	얀부 공항	YNB
사우디아라비아	메카	타이프	taif	TIF	타이프 공항	TIF
사우디아라비아	아시르	아바	abha	AHB	아바 공항	AHB
사우디아라비아		호푸프	hofuf	HOF	알라사 공항	HOF
사우디아라비아		알 자와프	al-jawf-region	AJF	주프 공항	AJF
사우디아라비아		아라르	ar-ar	RAE	아라 공항	RAE
사우디아라비아	하일	하일	hail	HAS	하일 공항	HAS
사우디아라비아	지잔	자잔	jazan	GIZ	제이전 공항	GIZ
사우디아라비아		나즈란	najran	EAM	나즈란 국내공항	EAM
사우디아라비아	알 바야	알바하	al-baha	ABT	알-바하 공항	ABT
사우디아라비아	동북 주	콰이 수마	qaisumah	AQI	콰이 수마 공항	AQI
사우디아라비아		알 울라	al-ula	ULH	알울라 공항	ULH
사우디아라비아	타북	웨지	wedjh	EJH	웨지 공항	EJH
사우디아라비아	알 후더드 아시 샤말리아	터레이프	turaif	TUI	터레이프 공항	TUI
사우디아라비아	리야드	와디애드다와서	wadi-ad-dawasir	WAE	와디애드다와서 공항	WAE
사우디아라비아	아시르	비샤	bisha	BHH	비샤 공항	BHH
사우디아라비아	리야드	Dawadmi	dawadmi	DWD	다왓미 공항	DWD
사우디아라비아	알 자와프	구라얏	gurayat	URY	구라얏 공항	URY
사우디아라비아	알 후더드 아시 샤말리아	라파	rafha	RAH	라프하 공항	RAH
사우디아라비아	나자란	샤룰라	sharurah	SHW	샤루라 공항	SHW
카타르	도하	도하	doha	DOH	도하 국제공항	DOH
파키스탄	이슬라마바드 수도권	이슬라마바드	islamabad	ISB	아잠 국제공항	ISB
파키스탄	신디	카라치	karachi	KHI	진나 국제공항	KHI
요르단	암만	암만	amman	AMM	퀸 알리아 국제공항	AMM
이란	테헤란	테헤란	tehran	THR	메흐라바드 국제공항	THR
이란	테헤란	테헤란	tehran	THR	이맘호메이니 국제공항	IKA
레바돈	베이루트	베이루트	beirut	BEY	베이루트라 픽하리리 국제공항	BEY
쿠웨이트	알아시마	쿠웨이트	kuwait	KWI	쿠웨이트 국제공항	KWI
바레인		바레인	bahrain	BAH	바레인 국제공항	BAH
오만	무스카트	무스카트	muscat	MCT	무스카트 국제공항	MCT
이스라엘	텔아비브	텔아비브야파	tel-aviv-yafo	TLV	벤 구리온 국제공항	TLV
아프가니스탄	카불	카불	kabul	KBL	카불 국제공항	KBL
아라크	바그다드	바그다드	baghdad	BGW	바그다드 국제공항	BGW
시리아	디마시크	다마스쿠스	damascus	DAM	다마스쿠스 국제공항	DAM
터키	지중해 터키	아다나	adana	ADA	샤키르파샤 국제공항	ADA
터키		앙카라	ankara	ank	에센보가 국제공항	ESB
터키	지중해 터키	안탈리아	antalya	AYT	안탈랴 국제공항	AYT
터키	지중해 터키	게지파사	gazipasa	GZP	가지파사 국제공항	GZP
터키		에드리미트	edremit	EDO	에드레미트코르페즈 공항	EDO
터키		부르사	bursa	YEI	부르사 공항	YEI
터키		차나칼레	canakkale	CKZ	케나케일 공항	CKZ
터키	에게해 지역	데니즐리	denizli	DNZ	차르다크 공항	DNZ
터키	동남 아나톨리아 지역	디야르바키르	diyarbakir	DIY	디야르바크르 공항	DIY
터키		엘라지	elazig	EZS	그공항	EZS
터키		에스키셰히르	eskisehir	esk	아나 돌루 공항	AOE
터키	동남 아나톨리아 지역	기지안테프	gaziantep	GZT	오구 젤리 공항	GZT
터키	지중해 터키	하타이	hatay	HTY	하타이 공항	HTY
터키	지중해 터키	이스파르타	isparta	ISE	이 스파르타 공항	ISE
터키		이즈미르	izmir	izm	아드난 멘데레스 국제공항	ADB
터키		카이세리	kayseri	ASR	에르킬레트 국제공항	ASR
터키		코니아	konya	KYA	콘야 공항	KYA
터키	에게해 지역	달라만	dalaman	DLM	달라만 공항	DLM
터키	에게해 지역	보드룸	bodrum	BJV	밀라스 공항	BJV
터키		네브셰히르	nevsehir	NAV	카파도키아 공항	NAV
터키		삼순	samsun	SZF	차르 샴바 공항	SZF
터키		샨리우르파	sanliurfa	sfq	샤늘르우루파귀니아나돌루프로제시 공항	GNY
터키		트라브존	trabzon	TZX	트라브존 공항	TZX
터키		반	van	VAN	훼릭 멜엔 공항	VAN
러시아	부랴티아 공화국	울란우데	ulan-ude	UUD	울란우데공항	UUD
러시아	프리모르스키 지방	블라디보스토크	vladivostok	VVO	크네비치 공항	VVO
러시아	사하 공화국	야쿠츠크	yakutsk	YKS	야쿠츠크 공항	YKS
러시아	크라스노야르스크	크라스노야르스크	krasnoyarsk	KJA	예밀야노보 공항	KJA
러시아	옴스크 주	옴스크	omsk	OMS	옴스크 공항	OMS
러시아	사할린주	유주노 사할린스크	yuzhno-sakhalinsk	UUS	블라디보스토크 공항	UUS
러시아	이르쿠츠크	이르쿠츠크	irkutsk	IKT	이르쿠츠크 국제공항	IKT
러시아	첼랴빈스크	첼랴빈스크	chelyabinsk	CEK	첼야빈스크바란디노공항	CEK
러시아	자바이칼스키 지방	치타	chita	HTA	카달라 공항	HTA
러시아	에카테린부르크	에카테린부르크	yekaterinburg	SVX	콜트소보 국제공항	SVX
러시아	노보시비르스크	노보시비르스크	novosibirsk	OVB	톨마체보 공항	OVB
러시아	캄차카 지방	로파블로프스크 캄차츠키	petropavlovsk	PKC	캄차츠키 공항	PKC
러시아	하바롭스크 지방	하바롭스크	khabarovsk	KHV	하바로프스크노비 국제공항	KHV
우즈베키스탄		타슈켄트	tashkent	TAS	타슈켄트 국제공항	TAS
카자흐스탄	아테라우	아티라우	atyrau	GUW	아티라우 공항	GUW
카자흐스탄		알마아타	almaty	ALA	알마티 국제공항	ALA
키르기스스탄	추이 주	비슈케크	bishkek	FRU	마나스 국제공항	FRU
투르크메니스탄		아슈하바트	ashgabat	ASB	아시가바트 공항	ASB
타지키스탄	공화국 직할구	두샨베	dushanbe	DYU	두샨베 국제공항	DYU
아제르바이잔		바쿠	baku	GYD	헤이다르 알리예프 국제공항	GYD
