안나바, 알제리	라바 비타트 공항	AAE
아이자울, 인도	렝푸이 에어포트	AJL
Anjouan, Comoros	Ouani	AJN
앙주앙, 코모로	오우아니 에어포트	AJN
앙주앙, 코모로	Ouani	AJN
아르비샤우르, 스웨덴	아르비샤르공항	AJR
아르비샤우르, 스웨덴	Arvidsjaur	AJR
아라카주, 브라질	산타 마리아 공항	AJU
아라카주, 브라질	Aracaju	AJU
아가데즈, 니제르	Agades	AJY
아가데즈, 니제르	마노 다약 인터내셔널 에어포트	AJY
Atka, AK, 미국	애트카 에어포트	AKB
Kufrah, 리비아	Kufrah	AKF
Akiak, AK, 미국	아키아크 에어포트	AKI
아사히카와, 일본	아사히카와 공항	AKJ
아사히카와, 일본	Asahikawa	AKJ
아키오그, AK, 미국	Akhiok SPB	AKK
아키오그, AK, 미국	아키오크 에어포트	AKK
North Shore, New Zealand	Auckland Intl	AKL
오클랜드, New Zealand	오클랜드국제공항	AKL
오클랜드, NZL	오클랜드국제공항	AKL
오클랜드, 뉴질랜드	오클랜드국제공항	AKL
오클랜드, 뉴질랜드	Auckland Intl	AKL
킹 새먼, AK, 미국	킹 새먼 에어포트	AKN
Anaktuvuk Pass, AK, 미국	아낙투벅 패스 에어포트	AKP
아커쑤, 중국	Aksu	AKU
아커쑤, 중국	아크수 에어포트	AKU
아쿠리비크, QC, 캐나다	Akulivik	AKV
아쿠리비크, QC, 캐나다	아쿠리비크 에어포트	AKV
악토베, 카자흐스탄	Aktobe	AKX
악토베, 카자흐스탄	악툐베 에어포트	AKX
Sittwe, Myanmar	Civil	AKY
시트웨, 미얀마	시트웨 에어포트	AKY
시트웨, 미얀마	Civil	AKY
알마티, 카자흐스탄	알마티국제공항	ALA
알마티, 카자흐스탄	Almaty	ALA
올버니, NY, 미국	올버니국제공항	ALB
알리칸테, 스페인	알리칸테-엘체 공항	ALC
알리칸테, 스페인	Alicante	ALC
알리칸테, 스페인	Alicante-Elche	ALC
알타, 노르웨이	알타 공항	ALF
알타, 노르웨이	Alta	ALF
알제, DZA	우아리 부메디엔 공항	ALG
알제, 알제리	우아리 부메디엔 공항	ALG
알제, 알제리	Houari Boumediene	ALG
올버니, WA, 호주	올버니공항	ALH
워털루, IA, 미국	워털루시립공항	ALO
Aleppo, 시리아	Nejrab	ALP
앨라모사, CO, 미국	산루이스 밸리 리저널 에어포트	ALS
왈라왈라, WA, 미국	왈라왈라지역공항	ALW
왈라왈라, WA, 미국	Walla Walla	ALW
Alitak, AK, 미국	알리탁 시플레인 베이스 (ALZ)	ALZ
애머릴로, TX, 미국	애머릴로국제공항	AMA
애머릴로, TX, 미국	Rick Husband Amarillo Intl	AMA
아메다바드, 인도	Ahmedabad	AMD
아메다바드, 인도	사르다르발라브바이파텔국제공항	AMD
아르바 민치, 에티오피아	Arba Mintch	AMH
암만, 요르단	Queen Alia Intl	AMM
암만, 요르단	퀸 알리아 국제공항	AMM
Ambon, Indonesia	Pattimura	AMQ
암본, 인도네시아	파티무라 공항	AMQ
암본, 인도네시아	Pattimura	AMQ
암스테르담, NLD	스히폴국제공항	AMS
암스테르담, 네덜란드	스히폴국제공항	AMS
암스테르담, 네덜란드	Schiphol	AMS
Amderma, 러시아	암데르마 에어포트	AMV
앵커리지, AK, 미국	앵커리지국제공항	ANC
앵커리지, AK, 미국	Ted Stevens Anchorage Intl	ANC
Angers, France	Marce	ANE
앙제, 프랑스	마르세	ANE
앙제, 프랑스	Loire	ANE
안토파가스타, 칠레	세로 모레노 인터내셔널 에어포트	ANF
안토파가스타, 칠레	Cerro Moreno	ANF
아니아크, AK, 미국	아니아크 에어포트	ANI
Antalaha, 마다가스카르	Antsirabato	ANM
Ekeren, Belgium	Deurne	ANR
앤트워프 공항	앤트워프, 벨기에	ANR
앤트워프, 벨기에	앤트워프 공항	ANR
앤트워프, 벨기에	Antwerp Deurne	ANR
앤트워프, 벨기에	Deurne	ANR
안다우아일라스, 페루	Andahuaylas	ANS
안다우아일라스, 페루	안다우아일라스 에어포트	ANS
세인트 존스, ATG	VC 버드 국제공항	ANU
세인트 존스, 앤티가바부다	VC 버드 국제공항	ANU
Anvik, AK, 미국	안비크 에어포트	ANV
안데네스, 노르웨이	안되위아 에어포트 안데네스	ANX
Eskişehir, Turkey	Anadolu University	AOE
에스키셰히르, 터키	Anadolu University	AOE
에스키셰히르, 터키	아나돌루 에어포트	AOE
안산, 중국	Anshan	AOG
Lima, OH	Allen County	AOH
리마, OH, 미국	리마 앨런 카운티 에어포트	AOH
Ancona, Italy	Falconara	AOI
Molino di Ancona, Italy	Falconara	AOI
안코나, 이탈리아	안코나 팔코나라 공항	AOI
안코나, 이탈리아	Falconara	AOI
아오모리, 일본	아오모리공항	AOJ
아오모리, 일본	Aomori	AOJ
Pigadia, Greece	Karpathos	AOK
카르파토스, 그리스	카르파토스섬 국립공항	AOK
앨투나, PA, 미국	Altoona	AOO
앨투나, PA, 미국	앨투나-블레어 카운티 에어포트	AOO
Upernavik, 그린란드	Aappilattoq	AOQ
알로르 세타르, 말레이시아	Alor Setar	AOR
알로르 세타르, 말레이시아	술탄아브둘할림공항	AOR
알로르 세타르, 말레이시아	Sultan Abdul Halim	AOR
Zachar Bay, AK, 미국	Amook	AOS
Zachar Bay, AK, 미국	아묵 베이 시플레인 베이스 (AOS)	AOS
덴버, CO, 미국	센터니얼공항	APA
덴버, CO, 미국	Arapahoe Co	APA
나파, CA, 미국	나파 카운티공항	APC
나파, CA, 미국	Napa County	APC
네이플스, FL, 미국	네이플스 뮤니시플 에어포트	APF
네이플스, FL, 미국	Naples	APF
Apataki, 프랑스령 폴리네시아	Apataki	APK
남풀라, 모잠비크	남풀라 공항	APL
남풀라, 모잠비크	Nampula	APL
Alpena, MI	Phelps/Collins	APN
알프나, MI, 미국	알페나공항	APN
알프나, MI, 미국	Phelps/Collins	APN
아파르타도, 콜롬비아	Apartado	APO
아파르타도, 콜롬비아	안토니오 롤단 베탄쿠르 에어포트	APO
Apia, Samoa	Faleolo	APW
아피아, WSM	팔레올로 국제공항	APW
아피아, 사모아	팔레올로 국제공항	APW
아피아, 사모아	Faleolo	APW
아라라쿠아라, 브라질	아라라콰라 에어포트	AQA
안칭, 중국	Anqing	AQG
안칭, 중국	안칭공항	AQG
Qaisumah, 사우디아라비아	카이수마 도메스틱 에어포트	AQI
Aqaba, Jordan	King Hussein Intl	AQJ
아카바, 요르단	후세인 왕 국제공항	AQJ
아카바, 요르단	King Hussein Intl	AQJ
아레키파, 페루	로드리게스 바이욘 국제공항	AQP
아레키파, 페루	Rodriguez Ballon	AQP
앤아버, MI, 미국	Ann Arbor	ARB
앤아버, MI, 미국	앤 아버 뮤니시플 에어포트	ARB
Arctic Village, AK, 미국	아크틱 빌리지 에어포트	ARC
Alor Island, 인도네시아	Mali	ARD
아르한겔스크, 러시아	탈라기 공항	ARH
아르한겔스크, 러시아	Arkhangelsk	ARH
아리카, 칠레	차칼루타국제공항	ARI
아루샤, 탄자니아	아루샤공항	ARK
아루샤, 탄자니아	Arusha	ARK
아미데일, NSW, 호주	아미데일공항	ARM
스톡홀름, Sweden	알란다국제공항	ARN
스톡홀름, 스웨덴	Arlanda	ARN
스톡홀름, 스웨덴	알란다국제공항	ARN
알란다국제공항	스톡홀름, 스웨덴	ARN
